z-position (cm)					r-position (cm)
         	channel 0	channel 1   	channel 2	channel 3	channel 4	channel 5
261.2		0.0		72.8		106.4		133.5		155.1		175.0
368.8		0.0		72.2		105.7		133.1		155.1		175.0
476.3		0.0		71.6		105		132.8		155.1		175.0
580.8		0.0		70.2		103.5		131.8		154.4		175.0
685.4		0.0		68.7		101.9		130.8		153.7		175.0
810.9		0.0		61.6		95.4		125.7		151.7		175.0
841.3		0.0		53.9		90.2		121.7		149		175.0
871.7		0.0		45.3		81.7		115.2		142.3		175.0
902.1		0.0		37.9		70.7		104.9		136		175.0
932.5		0.0		28.9		57.7		90.3		123.5		175.0
962.9		0.0		22.7		47.7		73.5		109.8		175.0
993.3		0.0		17.3		37.4		60.3		91.5		150.0
1019.4	0.0		13.9		30.2		49.1		72.1		110.0
1044.4	0.0		12.2		23.4		38.5		50.3		75.0
1066.2	0.0		11.5		18.5		22.4		25.9		35.0
