Layers 1 to 57
z (cm)         FLUX 1     FLUX 2      FLUX 3      FLUX 4
325.8662	4.06017E+12	9.78204E+12	3.3256E+12	7.07992E+13	
391.5263	6.82129E+12	1.66895E+13	5.72995E+12	1.28405E+14	
457.4383	9.69167E+12	2.37536E+13	8.17565E+12	1.84172E+14	
523.4468	1.20728E+13	2.97102E+13	1.02598E+13	2.32887E+14	
590.028	1.32014E+13	3.25597E+13	1.12702E+13	2.59145E+14	
658.3862	1.34469E+13	3.32364E+13	1.15305E+13	2.67799E+14	
728.9344	1.2761E+13	3.16695E+13	1.10314E+13	2.57237E+14	
803.4993	1.18409E+13	2.99387E+13	1.04872E+13	2.33088E+14	
1066.2	1.22791E+13	3.01595E+13	1.05507E+13	1.83549E+14	
325.9992	1.03545E+13	1.79321E+13	5.11465E+12	5.13683E+13	
391.1913	1.85412E+13	3.30302E+13	9.53047E+12	9.01219E+13	
456.7378	2.66364E+13	4.77133E+13	1.38243E+13	1.31767E+14	
522.6889	3.35077E+13	6.03921E+13	1.7518E+13	1.68707E+14	
589.1911	3.66154E+13	6.63261E+13	1.93527E+13	1.90012E+14	
656.5009	3.70598E+13	6.74071E+13	1.97765E+13	1.97532E+14	
725.3721	3.54085E+13	6.42618E+13	1.87955E+13	1.89148E+14	
797.0067	3.28091E+13	5.96613E+13	1.72231E+13	1.68811E+14	
870.4246	2.91272E+13	5.39106E+13	1.51996E+13	1.46625E+14	
1066.2	2.36744E+13	4.37109E+13	1.28399E+13	1.13412E+14	
328.1101	1.2924E+13	2.10973E+13	5.06225E+12	3.65613E+13	
394.5977	2.36285E+13	4.00745E+13	9.73853E+12	6.2034E+13	
460.6103	3.46117E+13	5.86497E+13	1.41914E+13	9.15951E+13	
526.1077	4.46828E+13	7.58473E+13	1.82214E+13	1.20183E+14	
591.0684	4.91446E+13	8.34927E+13	1.99985E+13	1.33498E+14	
655.4955	5.00792E+13	8.52448E+13	2.03882E+13	1.37726E+14	
719.5168	4.73618E+13	8.10627E+13	1.95284E+13	1.34364E+14	
783.4268	4.31558E+13	7.44648E+13	1.80959E+13	1.24975E+14	
846.7093	3.78726E+13	6.6835E+13	1.63851E+13	1.10187E+14	
911.2618	3.36146E+13	5.99617E+13	1.47702E+13	9.54515E+13	
1066.2	2.65619E+13	4.68216E+13	1.17724E+13	7.86835E+13	
327.7736	1.1411E+13	1.87037E+13	4.40855E+12	3.09315E+13	
393.1451	2.05065E+13	3.50399E+13	8.37042E+12	5.08574E+13	
458.4412	3.08515E+13	5.22091E+13	1.24079E+13	7.85294E+13	
524.1719	4.08041E+13	6.86461E+13	1.61726E+13	1.07004E+14	
590.2695	4.52789E+13	7.62581E+13	1.79297E+13	1.20098E+14	
656.0625	4.62957E+13	7.81829E+13	1.83534E+13	1.23617E+14	
720.2756	4.40172E+13	7.46297E+13	1.74988E+13	1.18313E+14	
781.3543	4.03091E+13	6.85744E+13	1.60987E+13	1.09015E+14	
838.8892	3.60632E+13	6.22924E+13	1.46944E+13	9.52204E+13	
896.3219	3.27717E+13	5.79615E+13	1.37508E+13	8.35561E+13	
952.4894	2.86183E+13	5.19487E+13	1.23999E+13	7.07473E+13	
1066.2	2.39696E+13	4.20728E+13	1.00884E+13	6.35667E+13	
329.0798	9.05196E+12	1.47594E+13	3.67249E+12	2.88938E+13	
397.1589	1.63792E+13	2.77149E+13	6.97098E+12	4.84066E+13	
465.1485	2.56439E+13	4.23462E+13	1.05687E+13	8.03789E+13	
532.6207	3.40439E+13	5.54806E+13	1.37263E+13	1.115E+14	
599.045	3.74538E+13	6.1099E+13	1.51044E+13	1.25155E+14	
663.8527	3.76045E+13	6.14599E+13	1.52003E+13	1.27593E+14	
727.6718	3.53212E+13	5.79077E+13	1.43269E+13	1.21851E+14	
791.0222	3.17951E+13	5.22455E+13	1.29525E+13	1.11049E+14	
846.8144	2.77213E+13	4.57894E+13	1.14143E+13	9.74819E+13	
889.1656	2.55122E+13	4.29221E+13	1.0599E+13	8.39483E+13	
922.5213	2.31072E+13	3.9394E+13	9.64417E+12	7.24135E+13	
948.9672	2.17417E+13	3.72468E+13	9.05541E+12	6.61806E+13	
971.4881	1.99492E+13	3.39607E+13	8.22238E+12	6.07901E+13	
993.743	1.83766E+13	3.12986E+13	7.75588E+12	6.09025E+13	
1066.2	1.56745E+13	2.63824E+13	6.94083E+12	6.30413E+13	
