z-position (cm)                              r-position (cm)
	channel 0	channel 1	channel 2	channel 3	channel 4	channel 5
294	100		121.89		140.35		156.7		171.43		184.75
354	100		121.89		140.35		156.7		171.43		185
414	100		121.89		140.35		156.7		171.43		185
474	100		121.89		140.35		156.7		171.43		185
534	100		121.89		140.35		156.7		171.43		185
594	100		121.89		140.35		156.7		171.43		185
654	100		121.89		140.35		156.7		171.43		185
714	100		121.89		140.35		156.7		171.43		185
774	100		121.89		140.35		156.7		171.43		185
834	100		121.89		140.35		156.7		171.44		185
894	100		121.89		140.35		156.7		171.45		185
954	100		121.89		140.35		156.7		171.45		185
1014	100		121.82		140.31		156.7		171.43		185
1074	100		121.8		140.3		156.7		171.37		185
1134	100		121.97		140.4		156.7		171.37		185
1194	100		123.02		140.92		156.7		171.14		185
1254	100		126.03		142.41		156.7		170.26		185
1314	100		131.85		145.18		156.7		168.28		185
1374	119.21		140.73		148.46		156.37		164.23		174.85
1434	146.72		149.64		153.02		155.58		157.45		160.32
1447.7	153		152.04		153.77		155.3		156.5		157

!  New Channels 5,21,93
